timestamp,open,high,low,close,volume
2026-01-18T18:00:00,932.73,932.73,900.67,918.97,239337.72
2026-01-18T19:00:00,918.97,922.34,916.48,919.95,37516.61
2026-01-18T20:00:00,919.96,922.2,917.43,920.97,27839.0
2026-01-18T21:00:00,920.97,925.8,920.63,925.17,22971.39
2026-01-18T22:00:00,925.18,927.71,922.83,926.38,24534.75
2026-01-18T23:00:00,926.38,928.0,923.18,925.11,24663.37
2026-01-19T00:00:00,925.11,926.3,923.0,925.24,17872.36
2026-01-19T01:00:00,925.25,927.97,923.47,927.33,13672.19
2026-01-19T02:00:00,927.34,929.0,925.11,926.91,22571.92
2026-01-19T03:00:00,926.9,928.47,924.44,928.34,13491.93
2026-01-19T04:00:00,928.33,929.98,926.49,926.69,19947.95
2026-01-19T05:00:00,926.7,929.16,925.59,928.15,17152.05
2026-01-19T06:00:00,928.15,928.41,925.28,927.88,26739.74
2026-01-19T07:00:00,927.87,929.85,925.61,928.66,32111.6
2026-01-19T08:00:00,928.67,929.39,923.57,924.59,45878.56
2026-01-19T09:00:00,924.59,926.77,924.59,925.79,11686.46
2026-01-19T10:00:00,925.78,929.4,925.38,928.98,11674.65
2026-01-19T11:00:00,928.99,928.99,927.05,928.09,8188.87
2026-01-19T12:00:00,928.08,928.16,925.7,927.55,6613.87
2026-01-19T13:00:00,927.55,929.62,926.73,927.1,6600.29
2026-01-19T14:00:00,927.1,928.25,925.83,926.7,9570.23
2026-01-19T15:00:00,926.7,927.91,925.15,925.48,5935.49
2026-01-19T16:00:00,925.48,927.04,922.03,922.12,12793.73
2026-01-19T17:00:00,922.11,926.15,919.72,924.13,21630.23
2026-01-19T18:00:00,924.12,931.48,923.88,929.59,35443.89
2026-01-19T19:00:00,929.59,933.6,928.25,932.73,21606.12
2026-01-19T20:00:00,932.73,932.95,927.2,928.72,19789.55
2026-01-19T21:00:00,928.71,929.74,927.0,927.88,16941.13
2026-01-19T22:00:00,927.88,928.92,926.5,926.97,10236.2
2026-01-19T23:00:00,926.96,926.97,920.28,922.68,39747.26
2026-01-20T00:00:00,922.67,922.83,914.44,915.87,39606.27
2026-01-20T01:00:00,915.86,919.86,915.03,918.13,18043.73
2026-01-20T02:00:00,918.13,918.23,909.02,914.82,47026.85
2026-01-20T03:00:00,914.81,915.0,913.06,913.62,13679.63
2026-01-20T04:00:00,913.63,916.37,913.0,914.77,14273.84
2026-01-20T05:00:00,914.76,915.88,912.66,913.19,11585.9
2026-01-20T06:00:00,913.19,916.49,912.89,914.32,11888.63
