timestamp,open,high,low,close,volume
2026-01-18T18:00:00,1.9904,1.9904,1.8406,1.9433,241974674.3
2026-01-18T19:00:00,1.9434,1.9612,1.9369,1.9512,36848923.6
2026-01-18T20:00:00,1.9513,1.962,1.9487,1.956,17238288.3
2026-01-18T21:00:00,1.956,1.9667,1.9516,1.9657,17900015.9
2026-01-18T22:00:00,1.9657,1.9731,1.96,1.9621,15902695.7
2026-01-18T23:00:00,1.9621,1.9689,1.9561,1.9606,33273891.9
2026-01-19T00:00:00,1.9605,1.965,1.9518,1.9607,16676281.9
2026-01-19T01:00:00,1.9607,1.9624,1.9524,1.9617,11740445.7
2026-01-19T02:00:00,1.9618,1.9817,1.9577,1.9789,23315060.9
2026-01-19T03:00:00,1.9788,1.9811,1.9726,1.9803,9406744.9
2026-01-19T04:00:00,1.9804,1.9829,1.971,1.9808,10150988.6
2026-01-19T05:00:00,1.9809,1.9815,1.9688,1.9717,10487368.7
2026-01-19T06:00:00,1.9717,1.9759,1.966,1.9718,9866172.9
2026-01-19T07:00:00,1.9717,1.973,1.9632,1.9725,11127067.4
2026-01-19T08:00:00,1.9725,1.9844,1.9673,1.9781,12486487.4
2026-01-19T09:00:00,1.9782,1.983,1.9758,1.9804,9738832.7
2026-01-19T10:00:00,1.9804,2.0289,1.9792,2.021,37589503.3
2026-01-19T11:00:00,2.021,2.0246,2.007,2.0173,25923068.7
2026-01-19T12:00:00,2.0173,2.0248,2.0082,2.01,15435122.0
2026-01-19T13:00:00,2.01,2.0174,2.0064,2.0126,10017494.9
2026-01-19T14:00:00,2.0127,2.016,2.0002,2.0015,11195190.7
2026-01-19T15:00:00,2.0016,2.0076,1.9953,1.9973,11538311.6
2026-01-19T16:00:00,1.9972,1.9994,1.9783,1.9794,22638719.2
2026-01-19T17:00:00,1.9794,1.9949,1.9785,1.985,23881198.4
2026-01-19T18:00:00,1.9851,1.9899,1.9809,1.9856,19527291.4
2026-01-19T19:00:00,1.9856,1.9857,1.9695,1.9715,18870084.9
2026-01-19T20:00:00,1.9714,1.9719,1.9609,1.9683,18650938.0
2026-01-19T21:00:00,1.9683,1.9692,1.9544,1.9614,16252062.2
2026-01-19T22:00:00,1.9613,1.9731,1.9588,1.9646,13707664.6
2026-01-19T23:00:00,1.9646,1.9683,1.9531,1.9656,23001654.4
2026-01-20T00:00:00,1.9656,1.9657,1.9404,1.9476,34150466.0
2026-01-20T01:00:00,1.9477,1.956,1.9448,1.9483,14132348.9
2026-01-20T02:00:00,1.9483,1.9529,1.9184,1.9273,70829637.4
2026-01-20T03:00:00,1.9272,1.9304,1.9206,1.9247,14834459.8
2026-01-20T04:00:00,1.9247,1.9321,1.9239,1.9291,12466191.7
2026-01-20T05:00:00,1.929,1.9397,1.9278,1.9282,15048425.5
2026-01-20T06:00:00,1.9282,1.9358,1.927,1.9339,12095134.3
2026-01-20T07:00:00,1.934,1.9341,1.9147,1.9161,27777534.2
2026-01-20T08:00:00,1.9161,1.939,1.9141,1.9243,47307197.4
2026-01-20T09:00:00,1.9243,1.9325,1.9074,1.9162,51250665.6
2026-01-20T10:00:00,1.9163,1.9268,1.9002,1.9096,29604314.7
2026-01-20T11:00:00,1.9095,1.92,1.8964,1.9017,32683923.8
2026-01-20T12:00:00,1.9017,1.908,1.8935,1.8979,22808932.6
2026-01-20T13:00:00,1.8979,1.9072,1.8931,1.9015,19241342.5
2026-01-20T14:00:00,1.9014,1.9107,1.8972,1.9047,29504898.9
2026-01-20T15:00:00,1.9048,1.9056,1.883,1.888,30765084.4
2026-01-20T16:00:00,1.8881,1.8991,1.8677,1.8894,34772905.6
2026-01-20T17:00:00,1.8893,1.8928,1.8831,1.8889,20196519.0
2026-01-20T18:00:00,1.8889,1.9145,1.888,1.9125,28359382.2
2026-01-20T19:00:00,1.9125,1.9174,1.8971,1.8976,18542885.9
2026-01-20T20:00:00,1.8977,1.9055,1.8906,1.8958,12655851.8
2026-01-20T21:00:00,1.8959,1.9073,1.8954,1.9017,11637690.9
2026-01-20T22:00:00,1.9018,1.9087,1.8996,1.9062,8334090.1
2026-01-20T23:00:00,1.9063,1.9257,1.9046,1.9201,22325745.1
2026-01-21T00:00:00,1.9201,1.9215,1.9126,1.914,12103560.8
2026-01-21T01:00:00,1.9141,1.9209,1.9059,1.9087,17121209.0
2026-01-21T02:00:00,1.9087,1.9107,1.8963,1.9015,18408408.2
2026-01-21T03:00:00,1.9014,1.9132,1.8991,1.9102,19439547.8
2026-01-21T04:00:00,1.9103,1.9149,1.902,1.9021,11866184.0
2026-01-21T05:00:00,1.9022,1.9049,1.8859,1.889,24252252.8
2026-01-21T06:00:00,1.8889,1.8975,1.8788,1.8964,32870861.4
2026-01-21T07:00:00,1.8963,1.905,1.8901,1.8957,23343746.0
2026-01-21T08:00:00,1.8957,1.9442,1.8901,1.9417,84327035.7
2026-01-21T09:00:00,1.9417,1.9598,1.9335,1.957,43957049.1
2026-01-21T10:00:00,1.9569,1.9577,1.8762,1.8781,71058812.7
2026-01-21T11:00:00,1.8781,1.8973,1.87,1.89,51884306.2
2026-01-21T12:00:00,1.8901,1.9135,1.8814,1.9045,26436090.8
2026-01-21T13:00:00,1.9045,1.9837,1.8975,1.9725,92073537.1
2026-01-21T14:00:00,1.9726,1.9727,1.9451,1.9722,42317177.8
2026-01-21T15:00:00,1.9721,1.9854,1.9656,1.9736,26545960.6
2026-01-21T16:00:00,1.9737,1.9889,1.9647,1.965,27794648.2
2026-01-21T17:00:00,1.9649,1.9674,1.9383,1.9466,22989461.5
2026-01-21T18:00:00,1.9465,1.96,1.9464,1.9541,17570189.9
2026-01-21T19:00:00,1.9541,1.9675,1.9511,1.9576,13800358.4
2026-01-21T20:00:00,1.9576,1.9606,1.9433,1.9446,12913361.7
2026-01-21T21:00:00,1.9446,1.9546,1.9411,1.9468,10628802.1
2026-01-21T22:00:00,1.9467,1.954,1.9465,1.952,6081294.0
2026-01-21T23:00:00,1.9521,1.9543,1.9456,1.9524,7459175.5
2026-01-22T00:00:00,1.9524,1.9589,1.9472,1.9546,9198041.7
2026-01-22T01:00:00,1.9546,1.9555,1.9455,1.9468,9357628.9
2026-01-22T02:00:00,1.9469,1.9588,1.9461,1.9581,12497816.9
2026-01-22T03:00:00,1.958,1.9637,1.9553,1.9631,10821457.4
2026-01-22T04:00:00,1.9632,1.9637,1.9523,1.9553,11265747.0
2026-01-22T05:00:00,1.9553,1.9562,1.9415,1.943,16448513.1
2026-01-22T06:00:00,1.943,1.9489,1.9402,1.9407,11492461.6
2026-01-22T07:00:00,1.9407,1.9467,1.925,1.9291,38164051.5
2026-01-22T08:00:00,1.9291,1.9316,1.9134,1.9141,34898906.6
2026-01-22T09:00:00,1.9142,1.9228,1.9001,1.9135,44076333.7
2026-01-22T10:00:00,1.9136,1.9284,1.9026,1.9219,29388420.3
2026-01-22T11:00:00,1.9219,1.9292,1.9111,1.928,22550391.9
2026-01-22T12:00:00,1.928,1.9324,1.9195,1.9212,11580112.2
2026-01-22T13:00:00,1.9211,1.9349,1.9165,1.9314,10271441.8
2026-01-22T14:00:00,1.9314,1.9329,1.9174,1.9224,17619496.9
2026-01-22T15:00:00,1.9224,1.9311,1.919,1.9243,8374269.9
2026-01-22T16:00:00,1.9243,1.9314,1.9217,1.9234,8050854.4
2026-01-22T17:00:00,1.9234,1.9248,1.915,1.9226,10670165.9
2026-01-22T18:00:00,1.9226,1.9254,1.9156,1.9172,8601291.3
2026-01-22T19:00:00,1.9173,1.9235,1.9156,1.921,6810234.7
2026-01-22T20:00:00,1.921,1.9223,1.908,1.9085,8500866.3
2026-01-22T21:00:00,1.9085,1.9174,1.9082,1.9151,8583151.5
2026-01-22T22:00:00,1.9151,1.925,1.9127,1.9192,8544337.7
2026-01-22T23:00:00,1.9192,1.9201,1.9066,1.9098,11454044.5
2026-01-23T00:00:00,1.9099,1.9161,1.9021,1.9102,12433468.6
2026-01-23T01:00:00,1.9102,1.9148,1.908,1.9132,8896524.5
2026-01-23T02:00:00,1.9133,1.9148,1.9013,1.9047,16984561.3
2026-01-23T03:00:00,1.9046,1.9111,1.9008,1.9067,11590801.5
2026-01-23T04:00:00,1.9067,1.9119,1.9061,1.9068,10384623.3
2026-01-23T05:00:00,1.9069,1.9139,1.9057,1.9128,6258891.3
2026-01-23T06:00:00,1.9129,1.9133,1.9077,1.909,6098252.2
2026-01-23T07:00:00,1.909,1.9115,1.903,1.9042,7818932.7
2026-01-23T08:00:00,1.9043,1.9079,1.8862,1.8958,41390828.3
2026-01-23T09:00:00,1.8958,1.9222,1.8881,1.9206,31020118.3
2026-01-23T10:00:00,1.9207,1.9499,1.9191,1.9354,42442498.1
2026-01-23T11:00:00,1.9354,1.9649,1.9263,1.9465,47942766.2
2026-01-23T12:00:00,1.9465,1.9604,1.9415,1.9438,28214809.2
2026-01-23T13:00:00,1.9438,1.9438,1.9199,1.9227,28272485.2
2026-01-23T14:00:00,1.9226,1.9279,1.9068,1.9146,41121452.2
2026-01-23T15:00:00,1.9146,1.9259,1.9122,1.9171,14048031.8
2026-01-23T16:00:00,1.917,1.9326,1.9164,1.9248,15507444.1
2026-01-23T17:00:00,1.9249,1.9249,1.9179,1.9186,7580244.7
2026-01-23T18:00:00,1.9187,1.9224,1.917,1.9183,6862755.1
2026-01-23T19:00:00,1.9182,1.9209,1.9152,1.9196,5084128.9
2026-01-23T20:00:00,1.9195,1.9259,1.9191,1.9229,5655262.5
2026-01-23T21:00:00,1.9229,1.9263,1.9205,1.9224,5606768.9
2026-01-23T22:00:00,1.9223,1.9268,1.9219,1.9244,3591338.3
2026-01-23T23:00:00,1.9243,1.9248,1.9186,1.9209,7026157.8
2026-01-24T00:00:00,1.921,1.9211,1.9166,1.9176,4880245.4
2026-01-24T01:00:00,1.9176,1.9189,1.9157,1.9179,4200734.1
2026-01-24T02:00:00,1.9179,1.9206,1.917,1.9186,6210744.7
2026-01-24T03:00:00,1.9185,1.9188,1.9134,1.9175,6113869.7
2026-01-24T04:00:00,1.9175,1.9175,1.9143,1.9165,4276980.7
2026-01-24T05:00:00,1.9165,1.9192,1.916,1.916,3795246.1
2026-01-24T06:00:00,1.916,1.9216,1.9144,1.9186,5641471.1
2026-01-24T07:00:00,1.9186,1.9235,1.9176,1.9178,6689505.6
2026-01-24T08:00:00,1.9178,1.9214,1.9158,1.9184,11704482.5
2026-01-24T09:00:00,1.9185,1.9206,1.9114,1.9118,8220871.7
2026-01-24T10:00:00,1.9119,1.916,1.909,1.9138,11922738.1
2026-01-24T11:00:00,1.9137,1.918,1.912,1.916,4406767.7
2026-01-24T12:00:00,1.9161,1.92,1.9154,1.9199,8083568.7
2026-01-24T13:00:00,1.9199,1.92,1.9136,1.9156,5408536.9
2026-01-24T14:00:00,1.9156,1.9179,1.9156,1.9166,2367671.4
2026-01-24T15:00:00,1.9167,1.917,1.9133,1.9167,3294100.6
