timestamp,open,high,low,close,volume
2026-01-18T18:00:00,12.976,12.976,12.032,12.557,4466214.0
2026-01-18T19:00:00,12.558,12.688,12.488,12.6,1063173.0
2026-01-18T20:00:00,12.601,12.753,12.577,12.684,611273.0
2026-01-18T21:00:00,12.684,12.725,12.621,12.705,326945.0
2026-01-18T22:00:00,12.705,12.737,12.612,12.617,417605.0
2026-01-18T23:00:00,12.617,12.677,12.581,12.613,442823.0
2026-01-19T00:00:00,12.612,12.624,12.543,12.598,346388.0
2026-01-19T01:00:00,12.598,12.649,12.598,12.637,215533.0
2026-01-19T02:00:00,12.636,12.828,12.603,12.791,790899.0
2026-01-19T03:00:00,12.79,12.808,12.766,12.791,282618.0
2026-01-19T04:00:00,12.791,12.796,12.722,12.738,228459.0
2026-01-19T05:00:00,12.738,12.746,12.681,12.699,357719.0
2026-01-19T06:00:00,12.698,12.73,12.654,12.694,296513.0
2026-01-19T07:00:00,12.694,12.747,12.658,12.712,298672.0
2026-01-19T08:00:00,12.712,12.775,12.694,12.746,278668.0
2026-01-19T09:00:00,12.746,12.793,12.664,12.715,427934.0
2026-01-19T10:00:00,12.715,12.758,12.694,12.737,361507.0
2026-01-19T11:00:00,12.737,12.755,12.616,12.687,607494.0
2026-01-19T12:00:00,12.686,12.755,12.673,12.738,398365.0
2026-01-19T13:00:00,12.739,12.85,12.739,12.807,441434.0
2026-01-19T14:00:00,12.808,12.831,12.78,12.787,237060.0
2026-01-19T15:00:00,12.788,12.818,12.77,12.771,212208.0
2026-01-19T16:00:00,12.77,12.773,12.639,12.639,419538.0
2026-01-19T17:00:00,12.639,12.774,12.613,12.728,381920.0
2026-01-19T18:00:00,12.728,12.732,12.651,12.661,305979.0
2026-01-19T19:00:00,12.662,12.736,12.62,12.678,299772.0
2026-01-19T20:00:00,12.679,12.719,12.613,12.694,329813.0
2026-01-19T21:00:00,12.695,12.725,12.651,12.692,242953.0
2026-01-19T22:00:00,12.692,12.738,12.672,12.677,206434.0
2026-01-19T23:00:00,12.678,12.756,12.615,12.734,627566.0
2026-01-20T00:00:00,12.733,12.733,12.519,12.587,713121.0
2026-01-20T01:00:00,12.586,12.641,12.544,12.546,371592.0
2026-01-20T02:00:00,12.547,12.56,12.394,12.473,976133.0
2026-01-20T03:00:00,12.472,12.611,12.45,12.546,716028.0
2026-01-20T04:00:00,12.545,12.644,12.486,12.486,729695.0
2026-01-20T05:00:00,12.486,12.523,12.442,12.45,410219.0
2026-01-20T06:00:00,12.451,12.487,12.438,12.457,297824.0
2026-01-20T07:00:00,12.457,12.457,12.323,12.328,740641.0
2026-01-20T08:00:00,12.327,12.544,12.324,12.461,940043.0
2026-01-20T09:00:00,12.46,12.471,12.3,12.391,1036648.0
2026-01-20T10:00:00,12.392,12.428,12.127,12.201,1008173.0
2026-01-20T11:00:00,12.201,12.302,12.052,12.132,1161459.0
2026-01-20T12:00:00,12.132,12.179,12.081,12.13,623769.0
2026-01-20T13:00:00,12.129,12.187,12.1,12.174,361335.0
2026-01-20T14:00:00,12.173,12.286,12.137,12.262,492139.0
2026-01-20T15:00:00,12.263,12.268,12.168,12.184,318241.0
2026-01-20T16:00:00,12.185,12.232,11.94,12.137,848425.0
2026-01-20T17:00:00,12.138,12.147,12.065,12.087,405625.0
2026-01-20T18:00:00,12.087,12.253,12.048,12.25,573553.0
2026-01-20T19:00:00,12.251,12.3,12.239,12.26,288533.0
2026-01-20T20:00:00,12.261,12.322,12.232,12.292,347518.0
2026-01-20T21:00:00,12.293,12.337,12.284,12.292,223208.0
2026-01-20T22:00:00,12.293,12.306,12.252,12.261,313409.0
2026-01-20T23:00:00,12.261,12.376,12.256,12.354,351890.0
2026-01-21T00:00:00,12.355,12.355,12.231,12.244,368484.0
2026-01-21T01:00:00,12.245,12.289,12.209,12.226,323930.0
2026-01-21T02:00:00,12.225,12.248,12.129,12.207,356665.0
2026-01-21T03:00:00,12.207,12.242,12.18,12.216,242995.0
2026-01-21T04:00:00,12.215,12.271,12.173,12.178,238318.0
2026-01-21T05:00:00,12.178,12.222,12.086,12.104,363465.0
2026-01-21T06:00:00,12.103,12.118,11.95,12.082,849738.0
2026-01-21T07:00:00,12.081,12.125,11.997,12.019,566044.0
2026-01-21T08:00:00,12.018,12.351,12.008,12.292,1320270.0
2026-01-21T09:00:00,12.291,12.413,12.259,12.39,964784.0
2026-01-21T10:00:00,12.39,12.408,11.862,11.894,1646947.0
2026-01-21T11:00:00,11.895,12.025,11.869,12.008,1341797.0
2026-01-21T12:00:00,12.008,12.164,11.964,12.116,694520.0
2026-01-21T13:00:00,12.116,12.606,12.084,12.584,1676711.0
2026-01-21T14:00:00,12.585,12.623,12.402,12.528,911089.0
2026-01-21T15:00:00,12.528,12.718,12.497,12.613,698617.0
2026-01-21T16:00:00,12.613,12.695,12.478,12.498,606063.0
2026-01-21T17:00:00,12.498,12.534,12.367,12.406,435335.0
2026-01-21T18:00:00,12.407,12.505,12.407,12.47,389453.0
2026-01-21T19:00:00,12.471,12.588,12.46,12.575,268347.0
2026-01-21T20:00:00,12.575,12.616,12.515,12.532,208117.0
2026-01-21T21:00:00,12.532,12.576,12.436,12.483,264002.0
2026-01-21T22:00:00,12.483,12.522,12.468,12.499,163851.0
2026-01-21T23:00:00,12.499,12.55,12.474,12.49,167809.0
2026-01-22T00:00:00,12.491,12.516,12.439,12.483,245280.0
2026-01-22T01:00:00,12.484,12.499,12.409,12.423,220901.0
2026-01-22T02:00:00,12.424,12.457,12.361,12.442,407416.0
2026-01-22T03:00:00,12.442,12.492,12.423,12.479,300860.0
2026-01-22T04:00:00,12.479,12.484,12.436,12.449,204397.0
